,index,STATION,DIVISION,DATETIME,HOUR,WEEKDAY,dow,UNIQUEID,ENTRYDIFF,EXITDIFF,TRAFFIC,DURATION,AVG_TRAFFIC
78,19577,JAY ST-METROTEC,BMT,2018-05-18 16:00:00,18,Friday,4,JAY ST-METROTEC_R089_C003_00-00-01,72.0,123.0,195.0,4.0,48.75
79,19578,JAY ST-METROTEC,BMT,2018-05-18 20:00:00,10,Friday,4,JAY ST-METROTEC_R089_C003_00-00-01,188.0,101.0,289.0,4.0,72.25
80,19580,JAY ST-METROTEC,BMT,2018-05-12 04:00:00,6,Saturday,5,JAY ST-METROTEC_R089_C003_00-00-02,4.0,1.0,5.0,-160.0,-0.03125
81,19581,JAY ST-METROTEC,BMT,2018-05-12 08:00:00,10,Saturday,5,JAY ST-METROTEC_R089_C003_00-00-02,1.0,2.0,3.0,4.0,0.75
82,19582,JAY ST-METROTEC,BMT,2018-05-12 12:00:00,14,Saturday,5,JAY ST-METROTEC_R089_C003_00-00-02,21.0,9.0,30.0,4.0,7.5
83,19583,JAY ST-METROTEC,BMT,2018-05-12 16:00:00,18,Saturday,5,JAY ST-METROTEC_R089_C003_00-00-02,62.0,30.0,92.0,4.0,23.0
84,19584,JAY ST-METROTEC,BMT,2018-05-12 20:00:00,22,Saturday,5,JAY ST-METROTEC_R089_C003_00-00-02,56.0,27.0,83.0,4.0,20.75
85,19585,JAY ST-METROTEC,BMT,2018-05-13 00:00:00,2,Sunday,6,JAY ST-METROTEC_R089_C003_00-00-02,18.0,27.0,45.0,4.0,11.25
86,19586,JAY ST-METROTEC,BMT,2018-05-13 04:00:00,6,Sunday,6,JAY ST-METROTEC_R089_C003_00-00-02,2.0,4.0,6.0,4.0,1.5
87,19587,JAY ST-METROTEC,BMT,2018-05-13 08:00:00,10,Sunday,6,JAY ST-METROTEC_R089_C003_00-00-02,1.0,1.0,2.0,4.0,0.5
88,19588,JAY ST-METROTEC,BMT,2018-05-13 12:00:00,14,Sunday,6,JAY ST-METROTEC_R089_C003_00-00-02,13.0,13.0,26.0,4.0,6.5
89,19589,JAY ST-METROTEC,BMT,2018-05-13 16:00:00,18,Sunday,6,JAY ST-METROTEC_R089_C003_00-00-02,39.0,23.0,62.0,4.0,15.5
90,19590,JAY ST-METROTEC,BMT,2018-05-13 20:00:00,22,Sunday,6,JAY ST-METROTEC_R089_C003_00-00-02,36.0,14.0,50.0,4.0,12.5
91,19591,JAY ST-METROTEC,BMT,2018-05-14 00:00:00,2,Monday,0,JAY ST-METROTEC_R089_C003_00-00-02,18.0,10.0,28.0,4.0,7.0
92,19592,JAY ST-METROTEC,BMT,2018-05-14 04:00:00,6,Monday,0,JAY ST-METROTEC_R089_C003_00-00-02,2.0,1.0,3.0,4.0,0.75
93,19593,JAY ST-METROTEC,BMT,2018-05-14 08:00:00,10,Monday,0,JAY ST-METROTEC_R089_C003_00-00-02,7.0,17.0,24.0,4.0,6.0
94,19594,JAY ST-METROTEC,BMT,2018-05-14 12:00:00,14,Monday,0,JAY ST-METROTEC_R089_C003_00-00-02,87.0,100.0,187.0,4.0,46.75
95,19595,JAY ST-METROTEC,BMT,2018-05-14 16:00:00,18,Monday,0,JAY ST-METROTEC_R089_C003_00-00-02,118.0,50.0,168.0,4.0,42.0
96,19596,JAY ST-METROTEC,BMT,2018-05-14 20:00:00,22,Monday,0,JAY ST-METROTEC_R089_C003_00-00-02,194.0,42.0,236.0,4.0,59.0
97,19597,JAY ST-METROTEC,BMT,2018-05-15 00:00:00,2,Tuesday,1,JAY ST-METROTEC_R089_C003_00-00-02,57.0,11.0,68.0,4.0,17.0
98,19598,JAY ST-METROTEC,BMT,2018-05-15 04:00:00,6,Tuesday,1,JAY ST-METROTEC_R089_C003_00-00-02,2.0,4.0,6.0,4.0,1.5
99,19599,JAY ST-METROTEC,BMT,2018-05-15 08:00:00,10,Tuesday,1,JAY ST-METROTEC_R089_C003_00-00-02,8.0,10.0,18.0,4.0,4.5
100,19600,JAY ST-METROTEC,BMT,2018-05-15 12:00:00,14,Tuesday,1,JAY ST-METROTEC_R089_C003_00-00-02,57.0,88.0,145.0,4.0,36.25
101,19601,JAY ST-METROTEC,BMT,2018-05-15 16:00:00,18,Tuesday,1,JAY ST-METROTEC_R089_C003_00-00-02,146.0,77.0,223.0,4.0,55.75
102,19602,JAY ST-METROTEC,BMT,2018-05-15 20:00:00,22,Tuesday,1,JAY ST-METROTEC_R089_C003_00-00-02,206.0,55.0,261.0,4.0,65.25
103,19603,JAY ST-METROTEC,BMT,2018-05-16 00:00:00,2,Wednesday,2,JAY ST-METROTEC_R089_C003_00-00-02,53.0,14.0,67.0,4.0,16.75
104,19604,JAY ST-METROTEC,BMT,2018-05-16 04:00:00,6,Wednesday,2,JAY ST-METROTEC_R089_C003_00-00-02,3.0,4.0,7.0,4.0,1.75
105,19605,JAY ST-METROTEC,BMT,2018-05-16 08:00:00,10,Wednesday,2,JAY ST-METROTEC_R089_C003_00-00-02,13.0,20.0,33.0,4.0,8.25
106,19606,JAY ST-METROTEC,BMT,2018-05-16 12:00:00,14,Wednesday,2,JAY ST-METROTEC_R089_C003_00-00-02,66.0,88.0,154.0,4.0,38.5
107,19607,JAY ST-METROTEC,BMT,2018-05-16 16:00:00,18,Wednesday,2,JAY ST-METROTEC_R089_C003_00-00-02,118.0,69.0,187.0,4.0,46.75
108,19608,JAY ST-METROTEC,BMT,2018-05-16 20:00:00,22,Wednesday,2,JAY ST-METROTEC_R089_C003_00-00-02,189.0,47.0,236.0,4.0,59.0
109,19609,JAY ST-METROTEC,BMT,2018-05-17 00:00:00,2,Thursday,3,JAY ST-METROTEC_R089_C003_00-00-02,53.0,6.0,59.0,4.0,14.75
110,19611,JAY ST-METROTEC,BMT,2018-05-17 08:00:00,10,Thursday,3,JAY ST-METROTEC_R089_C003_00-00-02,10.0,21.0,31.0,8.0,3.875
111,19612,JAY ST-METROTEC,BMT,2018-05-17 12:00:00,14,Thursday,3,JAY ST-METROTEC_R089_C003_00-00-02,80.0,86.0,166.0,4.0,41.5
112,19613,JAY ST-METROTEC,BMT,2018-05-17 16:00:00,18,Thursday,3,JAY ST-METROTEC_R089_C003_00-00-02,130.0,69.0,199.0,4.0,49.75
113,19614,JAY ST-METROTEC,BMT,2018-05-17 20:00:00,22,Thursday,3,JAY ST-METROTEC_R089_C003_00-00-02,172.0,46.0,218.0,4.0,54.5
114,19615,JAY ST-METROTEC,BMT,2018-05-18 00:00:00,2,Friday,4,JAY ST-METROTEC_R089_C003_00-00-02,73.0,13.0,86.0,4.0,21.5
